type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A4:CF:12:24:A1:20,-54,11,1,7,1,1,1,0,0,0,1,-95,0,6,1,2485526,0,122,0,0,2.64576,384,[122 32 7 0 0 0 0 0 0 0 0 0 -23 11 -22 10 -22 10 -23 8 -23 8 -23 7 -22 5 -23 5 -23 5 -22 5 -22 5 -21 4 -21 4 -21 4 -21 4 -21 4 -20 3 -20 3 -20 3 -19 3 -19 3 -18 3 -18 3 -18 4 -18 4 -18 4 0 0 -17 4 -17 5 -16 5 -16 4 -15 5 -15 5 -15 5 -15 6 -15 5 -15 6 -14 7 -14 7 -14 8 -14 8 -14 8 -14 8 -13 9 -13 8 -13 8 -13 8 -14 9 -13 10 -13 10 -13 10 -12 10 -12 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-45,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,2485652,0,37,0,0,2.65133,128,[37 80 2 0 0 0 0 0 0 0 0 0 8 -29 9 -28 10 -28 11 -28 12 -27 13 -26 13 -25 14 -25 14 -24 14 -24 14 -24 14 -24 14 -23 14 -23 15 -22 14 -22 14 -21 14 -20 14 -20 14 -19 14 -19 13 -19 13 -19 12 -19 12 -19 11 -19 0 0 11 -18 11 -19 10 -19 10 -19 9 -18 9 -19 9 -19 9 -19 8 -18 7 -19 6 -19 6 -19 6 -19 6 -20 6 -20 5 -20 5 -20 5 -20 5 -20 5 -20 5 -20 4 -20 3 -20 3 -21 2 -21 2 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-53,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,2560877,0,122,0,0,2.71462,384,[122 32 7 0 0 0 0 0 0 0 0 0 26 -4 26 -3 26 -3 25 -2 26 -1 25 0 24 0 25 1 24 2 24 2 24 3 23 4 23 3 23 3 22 3 22 3 21 3 21 3 20 3 20 3 20 3 19 2 20 3 19 2 18 2 18 2 0 0 18 2 18 1 17 0 18 1 17 0 17 0 17 -1 17 -1 17 -1 17 -1 16 -2 16 -2 16 -3 16 -3 17 -3 16 -4 16 -4 16 -4 16 -4 16 -4 16 -5 15 -6 16 -5 16 -6 15 -6 15 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-53,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,2661813,0,122,0,0,2.81547,384,[122 32 7 0 0 0 0 0 0 0 0 0 5 24 4 25 3 24 2 25 2 24 1 24 1 23 0 23 -1 23 -1 23 -1 22 -1 22 -1 22 -1 22 -2 21 -2 21 -2 21 -2 20 -2 20 -2 19 -2 19 -2 19 -1 18 -1 18 -1 18 0 18 0 0 0 17 0 17 0 17 1 16 1 16 1 16 2 16 2 16 3 15 3 15 4 15 3 15 4 16 5 16 4 15 5 15 5 14 6 14 6 14 6 14 7 14 6 14 7 14 7 14 8 13 8 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-53,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,2762711,0,122,0,0,2.91654,384,[122 32 7 0 0 0 0 0 0 0 0 0 -12 22 -12 21 -13 21 -13 20 -14 21 -14 19 -14 19 -15 19 -15 18 -16 18 -15 17 -15 16 -15 16 -15 16 -15 16 -15 15 -15 14 -15 15 -15 14 -15 14 -15 14 -14 14 -13 13 -13 13 -13 13 -12 13 0 0 -12 13 -11 14 -11 13 -11 13 -10 14 -10 14 -10 13 -9 14 -9 13 -9 14 -8 13 -8 14 -8 14 -7 14 -8 14 -7 14 -7 15 -6 14 -6 15 -6 15 -6 15 -6 15 -6 15 -5 16 -5 15 -5 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-54,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,2863752,0,122,0,0,3.01742,384,[122 32 7 0 0 0 0 0 0 0 0 0 26 2 26 3 24 4 25 5 24 5 25 6 24 7 22 7 23 7 21 7 22 7 22 8 21 7 21 8 20 8 19 7 20 8 19 8 20 7 18 7 18 7 18 6 18 7 17 5 17 5 17 5 0 0 17 5 16 5 17 4 16 4 17 3 16 2 16 2 16 1 16 2 16 1 16 1 16 0 16 0 16 -1 16 -1 17 -1 15 -2 17 -2 16 -2 16 -2 16 -3 16 -4 15 -3 16 -4 15 -4 16 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-54,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,2964648,0,122,0,0,3.11838,384,[122 32 7 0 0 0 0 0 0 0 0 0 18 -19 18 -18 18 -18 19 -17 19 -16 19 -15 19 -14 19 -14 20 -13 19 -13 19 -12 19 -12 18 -12 19 -12 19 -11 18 -10 18 -10 17 -10 17 -10 17 -10 17 -10 17 -10 16 -9 15 -10 15 -10 15 -10 0 0 14 -10 14 -10 13 -10 13 -9 13 -10 12 -11 12 -11 12 -11 12 -11 11 -12 11 -11 11 -12 11 -13 10 -13 11 -12 11 -12 10 -13 10 -13 10 -13 9 -13 9 -14 9 -14 8 -14 8 -15 8 -14 8 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-54,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,3065822,0,122,0,0,3.21954,384,[122 32 7 0 0 0 0 0 0 0 0 0 -8 -22 -7 -23 -7 -22 -6 -23 -6 -23 -4 -22 -4 -22 -3 -22 -4 -22 -3 -22 -2 -21 -2 -21 -2 -21 -1 -21 -2 -21 -1 -19 -1 -19 -1 -19 -1 -19 -2 -19 -1 -19 -2 -18 -2 -18 -2 -17 -2 -17 -3 -17 0 0 -3 -16 -3 -16 -3 -16 -4 -16 -4 -15 -4 -15 -4 -15 -5 -15 -5 -15 -6 -15 -6 -14 -6 -14 -6 -15 -6 -14 -7 -14 -7 -14 -7 -13 -8 -14 -8 -13 -8 -13 -8 -13 -8 -13 -8 -13 -9 -13 -9 -13 -10 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-54,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,3166699,0,122,0,0,3.32039,384,[122 32 7 0 0 0 0 0 0 0 0 0 -25 -11 -25 -12 -24 -13 -23 -13 -23 -14 -22 -15 -21 -15 -21 -16 -20 -15 -20 -16 -19 -16 -18 -16 -18 -16 -18 -16 -17 -16 -17 -16 -17 -15 -17 -15 -16 -15 -16 -15 -15 -14 -15 -14 -16 -14 -15 -13 -15 -13 -15 -13 0 0 -15 -12 -15 -12 -15 -11 -15 -11 -15 -10 -15 -10 -14 -10 -15 -10 -15 -9 -16 -9 -16 -8 -16 -8 -16 -8 -16 -8 -16 -8 -17 -7 -16 -7 -17 -7 -17 -6 -17 -7 -17 -6 -17 -6 -17 -6 -17 -5 -17 -5 -17 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A4:CF:12:24:A1:20,-54,11,1,7,1,1,1,1,0,0,1,-95,1,6,1,3267711,0,122,0,0,3.42131,384,[122 32 7 0 0 0 0 0 0 0 0 0 -23 9 -23 8 -23 8 -23 7 -23 6 -23 5 -23 4 -23 4 -23 3 -22 3 -22 3 -22 2 -21 3 -21 2 -21 2 -21 2 -21 2 -20 1 -20 2 -19 2 -19 1 -18 1 -19 1 -18 2 -18 3 -18 2 0 0 -17 2 -16 3 -16 3 -16 3 -16 4 -15 4 -15 4 -15 5 -15 4 -15 5 -15 5 -15 6 -14 6 -14 7 -14 7 -15 6 -14 7 -14 7 -14 7 -14 7 -13 7 -13 9 -13 9 -13 9 -13 9 -13 8 0 0 0 0 0 0 0 0 0 0 ]
